Date,GPR,GPR_change
1990-12-31,153.16242980957,-5.581115722656989
1991-01-31,379.249786376953,226.087356567383
1991-02-28,339.358032226563,-39.89175415039
1991-03-31,148.618316650391,-190.73971557617202
1991-04-30,97.760009765625,-50.858306884765994
1991-05-31,88.5690231323242,-9.190986633300795
1991-06-30,87.7338333129883,-0.8351898193359091
1991-07-31,115.184677124023,27.4508438110347
1991-08-31,113.495025634766,-1.6896514892570025
1991-09-30,117.942192077637,4.4471664428710085
1991-10-31,100.831809997559,-17.110382080077997
1991-11-30,100.742332458496,-0.08947753906301159
1991-12-31,103.969535827637,3.2272033691410087
1992-01-31,102.957633972168,-1.0119018554690058
1992-02-29,87.2034683227539,-15.754165649414091
1992-03-31,85.2973175048828,-1.906150817871108
1992-04-30,85.8556213378906,0.5583038330077983
1992-05-31,78.968147277832,-6.887474060058594
1992-06-30,93.8490905761719,14.8809432983399
1992-07-31,75.1967697143555,-18.652320861816406
1992-08-31,81.6451950073242,6.448425292968707
1992-09-30,74.6097183227539,-7.035476684570298
1992-10-31,68.1827774047852,-6.426940917968707
1992-11-30,91.0089950561523,22.826217651367102
1992-12-31,83.4209671020508,-7.588027954101506
1993-01-31,128.918075561523,45.497108459472216
1993-02-28,90.4680633544922,-38.45001220703081
1993-03-31,94.2414474487305,3.7733840942382955
1993-04-30,112.721664428711,18.480216979980497
1993-05-31,110.729751586914,-1.9919128417969887
1993-06-30,104.195251464844,-6.53450012207
1993-07-31,123.314788818359,19.119537353515
1993-08-31,97.2416763305664,-26.0731124877926
1993-09-30,89.1647796630859,-8.076896667480511
1993-10-31,106.165908813477,17.001129150391108
1993-11-30,83.4801788330078,-22.685729980469205
1993-12-31,79.5517959594727,-3.9283828735350994
1994-01-31,83.4899749755859,3.938179016113196
1994-02-28,117.242065429688,33.7520904541021
1994-03-31,93.4740371704102,-23.7680282592778
1994-04-30,95.3569717407227,1.8829345703125
1994-05-31,104.466789245605,9.109817504882301
1994-06-30,120.352241516113,15.885452270507997
1994-07-31,99.6402359008789,-20.71200561523409
1994-08-31,98.2270278930664,-1.4132080078125
1994-09-30,98.8984832763672,0.6714553833007955
1994-10-31,94.853630065918,-4.0448532104492045
1994-11-30,86.5298080444336,-8.323822021484403
1994-12-31,96.0475006103516,9.517692565918011
1995-01-31,80.1546783447266,-15.892822265625
1995-02-28,76.8753280639648,-3.279350280761804
1995-03-31,82.2444458007813,5.369117736816506
1995-04-30,99.1908798217773,16.946434020995994
1995-05-31,87.842529296875,-11.348350524902301
1995-06-30,104.607757568359,16.765228271484006
1995-07-31,107.645416259766,3.037658691406989
1995-08-31,106.934783935547,-0.7106323242189916
1995-09-30,71.2051696777344,-35.7296142578126
1995-10-31,67.7415008544922,-3.4636688232422017
1995-11-30,76.33349609375,8.591995239257798
1995-12-31,65.6720581054688,-10.661437988281193
1996-01-31,75.6349258422852,9.962867736816392
1996-02-29,80.4209213256836,4.785995483398395
1996-03-31,82.1476135253906,1.7266921997070028
1996-04-30,84.8286209106445,2.6810073852539062
1996-05-31,65.5308227539063,-19.297798156738196
1996-06-30,69.0885848999023,3.5577621459959943
1996-07-31,80.6443176269531,11.555732727050795
1996-08-31,81.6876449584961,1.0433273315429972
1996-09-30,88.1969757080078,6.5093307495117045
1996-10-31,55.5868301391602,-32.6101455688476
1996-11-30,57.344612121582,1.757781982421804
1996-12-31,74.9826354980469,17.6380233764649
