Date,SPY,FEZ,EWJ,EEM,IEF,TLT,TIP,GLD,DBC,DBA,IYR
2005-09-11,124.5999984741211,41.970001220703125,46.2400016784668,27.35333251953125,85.56999969482422,94.0,105.47000122070312,44.84000015258789,,,66.0999984741211
2005-09-18,123.5,41.5099983215332,46.720001220703125,27.483333587646484,84.79000091552734,92.0999984741211,105.0,45.81999969482422,,,65.44999694824219
2005-09-25,121.44000244140625,40.25,46.880001068115234,27.476667404174805,84.87000274658203,92.61000061035156,105.16000366210938,46.279998779296875,,,62.70000076293945
2005-10-02,123.04000091552734,41.22999954223633,48.7599983215332,28.293333053588867,84.44000244140625,92.19999694824219,105.2699966430664,46.70000076293945,,,64.2699966430664
2005-10-09,119.61000061035156,40.81999969482422,47.040000915527344,27.046667098999023,84.08000183105469,91.83999633789062,104.05000305175781,47.36000061035156,,,61.40999984741211
2005-10-16,118.66999816894531,40.540000915527344,48.15999984741211,25.979999542236328,83.48999786376953,90.2300033569336,103.68000030517578,46.79999923706055,,,60.59000015258789
2005-10-23,118.12999725341797,39.13999938964844,46.599998474121094,25.71666717529297,84.02999877929688,91.43000030517578,104.22000122070312,46.52000045776367,,,60.529998779296875
2005-10-30,119.80000305175781,39.540000915527344,47.84000015258789,26.03333282470703,83.05999755859375,89.61000061035156,103.30000305175781,47.220001220703125,,,62.04999923706055
2005-11-06,122.11000061035156,39.65999984741211,49.040000915527344,27.356666564941406,82.27999877929688,88.12000274658203,102.69999694824219,45.5099983215332,,,61.33000183105469
2005-11-13,123.76000213623047,40.0,49.36000061035156,27.6299991607666,82.97000122070312,89.48999786376953,103.05999755859375,46.79999923706055,,,64.0199966430664
2005-11-20,125.12999725341797,40.45000076293945,50.20000076293945,28.116666793823242,83.26000213623047,90.13999938964844,103.18000030517578,48.459999084472656,,,64.79000091552734
2005-11-27,127.12999725341797,40.630001068115234,50.08000183105469,28.39666748046875,83.73999786376953,90.51000213623047,103.6500015258789,49.41999816894531,,,66.44000244140625
2005-12-04,126.8499984741211,41.27000045776367,50.959999084472656,28.733333587646484,82.94999694824219,89.5,101.94000244140625,50.31999969482422,,,66.0999984741211
2005-12-11,126.33000183105469,41.47999954223633,51.720001220703125,29.03333282470703,83.02999877929688,89.54000091552734,101.86000061035156,52.400001525878906,,,65.6500015258789
2005-12-18,126.36000061035156,42.54999923706055,53.119998931884766,29.166667938232422,83.5999984741211,90.69999694824219,102.56999969482422,50.09000015258789,,,66.04000091552734
2005-12-25,126.76000213623047,42.72999954223633,54.599998474121094,29.68000030517578,83.93000030517578,91.80000305175781,103.1500015258789,50.119998931884766,,,65.30000305175781
2006-01-01,124.51000213623047,42.380001068115234,54.08000183105469,29.416667938232422,83.91000366210938,91.9000015258789,102.81999969482422,51.58000183105469,,,64.1500015258789
2006-01-08,128.44000244140625,44.75,56.7599983215332,31.59666633605957,83.95999908447266,91.72000122070312,102.69999694824219,53.720001220703125,,,67.25
2006-01-15,128.67999267578125,44.029998779296875,56.279998779296875,31.483333587646484,84.12000274658203,92.02999877929688,103.11000061035156,55.439998626708984,,,67.1500015258789
2006-01-22,125.97000122070312,42.779998779296875,52.84000015258789,30.96666717529297,84.18000030517578,92.37999725341797,103.41000366210938,55.20000076293945,,,66.91999816894531
2006-01-29,128.5399932861328,44.380001068115234,56.560001373291016,33.529998779296875,83.37999725341797,90.51000213623047,102.5199966430664,55.630001068115234,,,68.91999816894531
2006-02-05,126.2699966430664,44.209999084472656,55.560001373291016,32.266666412353516,83.05000305175781,90.8499984741211,103.05000305175781,56.5,,,68.0
2006-02-12,126.63999938964844,44.31999969482422,54.31999969482422,32.29999923706055,82.62000274658203,90.30000305175781,102.26000213623047,54.790000915527344,23.190000534057617,,67.72000122070312
2006-02-19,128.80999755859375,45.029998779296875,53.20000076293945,32.92333221435547,82.88999938964844,90.94999694824219,102.72000122070312,54.959999084472656,22.899999618530273,,69.93000030517578
2006-02-26,129.41000366210938,45.40999984741211,55.279998779296875,32.86333465576172,82.80000305175781,91.05000305175781,102.6500015258789,55.63999938964844,23.440000534057617,,70.33999633789062
2006-03-05,128.75999450683594,45.130001068115234,54.119998931884766,32.66666793823242,82.01000213623047,89.33000183105469,102.48999786376953,56.279998779296875,23.8799991607666,,69.93000030517578
2006-03-12,128.58999633789062,45.349998474121094,54.720001220703125,31.549999237060547,81.75,88.27999877929688,101.0999984741211,53.83000183105469,22.850000381469727,,71.80000305175781
2006-03-19,130.6199951171875,46.77000045776367,55.91999816894531,32.813331604003906,82.3499984741211,88.8499984741211,101.88999938964844,55.119998931884766,23.31999969482422,,74.9800033569336
